ENTIDAD,CONCEPTO,TIPO,2019,2020,2021,2022,2023,2024,2025
BAJA CALIFORNIA,CONTRA LA SALUD,TRAFICO,18,108,90,63,94,76,140
BAJA CALIFORNIA,CONTRA LA SALUD,TRANSPORTE,14,90,77,61,29,18,34
BAJA CALIFORNIA,CONTRA LA SALUD,VIAS DE COMUNICACION Y CORRESPONDENCIA,0,0,0,0,0,0,0
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CODIGO FISCAL DE LA FEDERACION (C.F.F.),0,0,0,0,0,0,0
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),COMERCIO,0,0,0,0,0,0,0
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),COMETIDOS POR SERVIDORES PUBLICOS,0,0,0,0,0,0,0
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA EL AMBIENTE Y LA GESTION AMBIENTAL,0,0,0,0,0,0,0
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA INTEGRIDAD CORPORAL,0,0,0,0,0,0,0
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD,3,0,5,0,1,3,2
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),CONTRA LA SALUD EN SU MODALIDAD DE NARCOMENUDEO,0,0,0,0,0,0,0
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),ELECTORALES,0,0,0,0,0,0,0
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),EN MATERIA DE DERECHOS DE AUTOR,0,0,0,0,0,0,0
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),"FALSEDAD, TITULO DECIMO TERCERO",0,0,0,0,0,0,0
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),LEY DE LA PROPIEDAD INDUSTRIAL (L.P.I.),0,0,0,0,0,0,0
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),LEY DE MIGRACION,0,0,0,0,0,0,0
BAJA CALIFORNIA,LEY FEDERAL CONTRA LA DELINCUENCIA ORGANIZADA (L.F.C.D.O.),LEY DE VIAS GENERALES DE COMUNICACION (L.V.G.C.),0,0,0,0,0,0,0
